"","Country_Region","Last_Update1","Daily_Confirmed","Daily_Deaths","Daily_Recovered","Active","Confirmed","Deaths","Recovered"
"1","US","2020-03-22",33476,419,0,0,33476,419,0
"2","US","2020-03-23",10279,131,0,0,43781,553,0
"3","US","2020-03-24",10298,150,0,0,53991,703,0
"4","US","2020-03-25",12065,250,0,0,66055,952,0
"5","US","2020-03-26",17927,260,0,0,83974,1211,0
"6","US","2020-03-27",18425,375,0,0,101761,1582,0
"7","US","2020-03-28",19886,494,0,0,122272,2077,0
"8","US","2020-03-29",19417,478,0,0,141704,2557,0
"9","US","2020-03-30",20435,487,0,0,162162,3040,0
"10","US","2020-03-31",26710,978,0,0,188209,4014,0
"11","US","2020-04-01",24822,1090,0,0,213594,5107,0
"12","US","2020-04-02",29991,1033,0,0,235660,5180,0
"13","US","2020-04-03",31755,898,0,0,267520,6080,0
"14","US","2020-04-04",34455,1091,0,0,301961,7171,0
"15","US","2020-04-05",27931,1121,0,0,329921,8292,0
"16","US","2020-04-06",29353,2077,0,0,359273,10369,0
"17","US","2020-04-07",30503,2071,0,0,389770,12440,0
"18","US","2020-04-08",33222,1943,0,0,422993,14383,0
"19","US","2020-04-09",32730,1776,0,0,455723,16159,0
"20","US","2020-04-10",34760,1993,0,0,490483,18152,0
"21","US","2020-04-11",29202,2067,0,0,519684,20219,0
"22","US","2020-04-12",28509,1558,0,526283,548194,21777,0
"23","US","2020-04-13",25271,1495,0,651894,573465,23272,0
"24","US","2020-04-14",26289,2214,0,573792,599745,25486,0
"25","US","2020-04-15",29893,2576,0,601127,629647,28062,0
"26","US","2020-04-16",31262,4617,0,628013,660909,32679,0
"27","US","2020-04-17",31895,3220,0,656523,692733,35899,0
"28","US","2020-04-18",32076,1389,0,687326,724809,37288,0
"29","US","2020-04-19",27144,2631,0,711593,751682,39917,0
"30","US","2020-04-20",25582,1692,0,735469,777293,41609,0
"31","US","2020-04-21",24598,2100,0,757851,801891,43709,0
"32","US","2020-04-22",32501,2554,0,787223,834392,46263,0
"33","US","2020-04-23",3314,193,0,128260,134250,5512,0
