,Country_Region,Province_State,Lat,Long_,Last_Update1,Confirmed,Deaths,Recovered,Active,Daily_Confirmed,Daily_Deaths,Daily_Recovered,Daily_Active,IP
0,US,Alabama,32.3182,-86.9023,2020-04-12,3667.0,93.0,0.0,3470.0,3667.0,93.0,0.0,3470.0,3760.0
1,US,Alabama,32.3182,-86.9023,2020-04-13,3870.0,99.0,0.0,3635.0,203.0,6.0,0.0,165.0,209.0
2,US,Alabama,32.3182,-86.9023,2020-04-14,4041.0,114.0,0.0,3839.0,171.0,15.0,0.0,204.0,186.0
3,US,Alabama,32.3182,-86.9023,2020-04-15,4307.0,118.0,0.0,3957.0,266.0,4.0,0.0,118.0,270.0
4,US,Alabama,32.3182,-86.9023,2020-04-16,4465.0,133.0,0.0,4212.0,158.0,15.0,0.0,255.0,173.0
5,US,Alabama,32.3182,-86.9023,2020-04-17,4557.0,148.0,0.0,4423.0,92.0,15.0,0.0,211.0,107.0
6,US,Alabama,32.3182,-86.9023,2020-04-18,4788.0,153.0,0.0,4559.0,231.0,5.0,0.0,136.0,236.0
7,US,Alabama,32.3182,-86.9023,2020-04-19,4978.0,157.0,0.0,4731.0,190.0,4.0,0.0,172.0,194.0
8,US,Alabama,32.3182,-86.9023,2020-04-20,5163.0,163.0,0.0,4916.0,185.0,6.0,0.0,185.0,191.0
9,US,Alabama,32.3182,-86.9023,2020-04-21,5404.0,183.0,0.0,5134.0,241.0,20.0,0.0,218.0,261.0
10,US,Alabama,32.3182,-86.9023,2020-04-22,5692.0,196.0,0.0,5397.0,288.0,13.0,0.0,263.0,301.0
11,US,Alabama,32.3182,-86.9023,2020-04-24,5899.0,202.0,0.0,5630.0,207.0,6.0,0.0,233.0,213.0
12,US,Alabama,32.3182,-86.9023,2020-04-25,6092.0,209.0,0.0,5817.0,193.0,7.0,0.0,187.0,200.0
13,US,Alabama,32.3182,-86.9023,2020-04-26,6274.0,209.0,0.0,5817.0,182.0,0.0,0.0,0.0,182.0
14,US,Alabama,32.3182,-86.9023,2020-04-27,6475.0,219.0,0.0,6202.0,201.0,10.0,0.0,385.0,211.0
15,US,Alabama,32.3182,-86.9023,2020-04-28,6621.0,228.0,0.0,6311.0,146.0,9.0,0.0,109.0,155.0
16,US,Alabama,32.3182,-86.9023,2020-04-29,6820.0,242.0,0.0,6508.0,199.0,14.0,0.0,197.0,213.0
17,US,Alabama,32.3182,-86.9023,2020-04-30,6979.0,256.0,0.0,6656.0,159.0,14.0,0.0,148.0,173.0
18,US,Alabama,32.3182,-86.9023,2020-05-01,7187.0,272.0,0.0,6816.0,208.0,16.0,0.0,160.0,224.0
19,US,Alabama,32.3182,-86.9023,2020-05-02,7440.0,289.0,0.0,7005.0,253.0,17.0,0.0,189.0,270.0
20,US,Alabama,32.3182,-86.9023,2020-05-03,7700.0,289.0,0.0,7323.0,260.0,0.0,0.0,318.0,260.0
21,US,Alabama,32.3182,-86.9023,2020-05-04,7977.0,290.0,0.0,7598.0,277.0,1.0,0.0,275.0,278.0
22,US,Alabama,32.3182,-86.9023,2020-05-05,8203.0,298.0,0.0,7814.0,226.0,8.0,0.0,216.0,234.0
23,US,Alabama,32.3182,-86.9023,2020-05-06,8520.0,315.0,0.0,8122.0,317.0,17.0,0.0,308.0,334.0
24,US,Alabama,32.3182,-86.9023,2020-05-07,8769.0,343.0,0.0,8348.0,249.0,28.0,0.0,226.0,277.0
25,US,Alabama,32.3182,-86.9023,2020-05-08,9115.0,369.0,0.0,8677.0,346.0,26.0,0.0,329.0,372.0
26,US,Alabama,32.3182,-86.9023,2020-05-09,9437.0,383.0,0.0,9002.0,322.0,14.0,0.0,325.0,336.0
27,US,Alabama,32.3182,-86.9023,2020-05-10,9720.0,390.0,0.0,9278.0,283.0,7.0,0.0,276.0,290.0
28,US,Alabama,32.3182,-86.9023,2020-05-11,9982.0,393.0,0.0,9496.0,262.0,3.0,0.0,218.0,265.0
29,US,Alabama,32.3182,-86.9023,2020-05-12,10262.0,403.0,0.0,9761.0,280.0,10.0,0.0,265.0,290.0
30,US,Alabama,32.3182,-86.9023,2020-05-13,10566.0,435.0,0.0,10029.0,304.0,32.0,0.0,268.0,336.0
31,US,Alabama,32.3182,-86.9023,2020-05-14,10822.0,450.0,0.0,10250.0,256.0,15.0,0.0,221.0,271.0
32,US,Alabama,32.3182,-86.9023,2020-05-15,11161.0,473.0,0.0,10628.0,339.0,23.0,0.0,378.0,362.0
33,US,Alabama,32.3182,-86.9023,2020-05-16,11494.0,483.0,0.0,10890.0,333.0,10.0,0.0,262.0,343.0
34,US,Alabama,32.3182,-86.9023,2020-05-17,11828.0,485.0,0.0,11189.0,334.0,2.0,0.0,299.0,336.0
35,US,Alabama,32.3182,-86.9023,2020-05-18,12137.0,488.0,0.0,11283.0,309.0,3.0,0.0,94.0,312.0
36,US,Alabama,32.3182,-86.9023,2020-05-19,12438.0,489.0,0.0,11597.0,301.0,1.0,0.0,314.0,302.0
37,US,Alabama,32.3182,-86.9023,2020-05-20,12825.0,504.0,0.0,11872.0,387.0,15.0,0.0,275.0,402.0
38,US,Alabama,32.3182,-86.9023,2020-05-21,13186.0,522.0,0.0,12530.0,361.0,18.0,0.0,658.0,379.0
39,US,Alabama,32.3182,-86.9023,2020-05-22,13590.0,529.0,0.0,12759.0,404.0,7.0,0.0,229.0,411.0
40,US,Alabama,32.3182,-86.9023,2020-05-23,13954.0,541.0,7951.0,5178.0,364.0,12.0,7951.0,-7581.0,-7575.0
41,US,Alabama,32.3182,-86.9023,2020-05-24,14328.0,549.0,7951.0,5617.0,374.0,8.0,0.0,439.0,382.0
42,US,Alabama,32.3182,-86.9023,2020-05-25,14676.0,551.0,7951.0,5976.0,348.0,2.0,0.0,359.0,350.0
43,US,Alabama,32.3182,-86.9023,2020-05-26,15309.0,566.0,7951.0,6469.0,633.0,15.0,0.0,493.0,648.0
44,US,Alabama,32.3182,-86.9023,2020-05-27,15899.0,580.0,7951.0,7119.0,590.0,14.0,0.0,650.0,604.0
45,US,Alabama,32.3182,-86.9023,2020-05-28,16263.0,583.0,7951.0,7498.0,364.0,3.0,0.0,379.0,367.0
46,US,Alabama,32.3182,-86.9023,2020-05-29,16749.0,591.0,9355.0,6584.0,486.0,8.0,1404.0,-914.0,-910.0
47,US,Alabama,32.3182,-86.9023,2020-05-30,17262.0,610.0,9355.0,7066.0,513.0,19.0,0.0,482.0,532.0
48,US,Alabama,32.3182,-86.9023,2020-05-31,17689.0,618.0,9355.0,7386.0,427.0,8.0,0.0,320.0,435.0
49,US,Alabama,32.3182,-86.9023,2020-06-01,18200.0,630.0,9355.0,7967.0,511.0,12.0,0.0,581.0,523.0
50,US,Alabama,32.3182,-86.9023,2020-06-02,18525.0,646.0,9355.0,8629.0,325.0,16.0,0.0,662.0,341.0
51,US,Alabama,32.3182,-86.9023,2020-06-03,18734.0,653.0,9355.0,8758.0,209.0,7.0,0.0,129.0,216.0
52,US,Alabama,32.3182,-86.9023,2020-06-04,18954.0,653.0,11395.0,6803.0,220.0,0.0,2040.0,-1955.0,-1820.0
53,US,Alabama,32.3182,-86.9023,2020-06-05,19262.0,653.0,11395.0,7024.0,308.0,0.0,0.0,221.0,308.0
54,US,Alabama,32.3182,-86.9023,2020-06-06,19910.0,676.0,11395.0,7316.0,648.0,23.0,0.0,292.0,671.0
55,US,Alabama,32.3182,-86.9023,2020-06-07,20355.0,689.0,11395.0,7959.0,445.0,13.0,0.0,643.0,458.0
56,US,Alabama,32.3182,-86.9023,2020-06-08,20777.0,692.0,11395.0,8413.0,422.0,3.0,0.0,454.0,425.0
57,US,Alabama,32.3182,-86.9023,2020-06-09,21268.0,718.0,11395.0,8812.0,491.0,26.0,0.0,399.0,517.0
58,US,Alabama,32.3182,-86.9023,2020-06-10,21834.0,729.0,11395.0,9298.0,566.0,11.0,0.0,486.0,577.0
59,US,Alabama,32.3182,-86.9023,2020-06-11,22659.0,744.0,13508.0,7737.0,825.0,15.0,2113.0,-1561.0,-1273.0
