COUNTRY,FECHA,CONTAGIADOS,FALLECIDOS,RECUPERADOS,HOSPITALIZADOS,UCIs
BOLIVIA,08/03/2020,1,0,0,0,
BOLIVIA,09/03/2020,1,0,0,0,
BOLIVIA,10/03/2020,5,0,0,0,
BOLIVIA,11/03/2020,3,0,0,0,
BOLIVIA,12/03/2020,0,0,0,0,
BOLIVIA,13/03/2020,2,0,0,0,
BOLIVIA,14/03/2020,0,0,0,0,
BOLIVIA,15/03/2020,1,0,0,0,
BOLIVIA,16/03/2020,1,0,0,0,
BOLIVIA,17/03/2020,1,0,0,0,
BOLIVIA,18/03/2020,3,0,0,0,
BOLIVIA,19/03/2020,2,0,0,0,
BOLIVIA,20/03/2020,7,0,0,0,
BOLIVIA,21/03/2020,3,0,0,0,
BOLIVIA,22/03/2020,0,0,0,0,
BOLIVIA,23/03/2020,1,0,0,0,
BOLIVIA,24/03/2020,1,0,0,0,
BOLIVIA,25/03/2020,7,0,0,0,
BOLIVIA,26/03/2020,22,0,0,0,
BOLIVIA,27/03/2020,13,0,0,0,
BOLIVIA,28/03/2020,7,0,0,0,
BOLIVIA,29/03/2020,7,3,0,0,
BOLIVIA,30/03/2020,11,3,0,0,
BOLIVIA,31/03/2020,8,1,0,0,
BOLIVIA,01/04/2020,8,1,0,0,
BOLIVIA,02/04/2020,9,1,0,0,
BOLIVIA,03/04/2020,7,1,1,0,
BOLIVIA,04/04/2020,18,0,1,0,
BOLIVIA,05/04/2020,26,1,0,0,
BOLIVIA,06/04/2020,11,3,0,0,
BOLIVIA,07/04/2020,16,3,0,0,
BOLIVIA,08/04/2020,54,1,0,,
BOLIVIA,09/04/2020,4,1,0,,
BOLIVIA,10/04/2020,7,1,0,,
BOLIVIA,11/04/2020,25,4,0,,
BOLIVIA,12/04/2020,30,3,0,,
BOLIVIA,13/04/2020,24,1,4,,
BOLIVIA,14/04/2020,43,0,1,,
BOLIVIA,15/04/2020,44,1,7,,
BOLIVIA,16/04/2020,24,2,12,,
BOLIVIA,17/04/2020,28,0,5,,
BOLIVIA,18/04/2020,27,1,0,,
BOLIVIA,19/04/2020,44,1,0,,
BOLIVIA,20/04/2020,34,1,6,,
BOLIVIA,21/04/2020,11,3,7,,
BOLIVIA,22/04/2020,63,3,0,,
BOLIVIA,23/04/2020,31,3,10,,
BOLIVIA,24/04/2020,104,1,9,,
BOLIVIA,25/04/2020,59,2,12,,
BOLIVIA,26/04/2020,84,4,6,,
BOLIVIA,27/04/2020,64,3,19,,
BOLIVIA,28/04/2020,39,2,29,,
BOLIVIA,29/04/2020,57,4,7,,
BOLIVIA,30/04/2020,57,1,5,,
BOLIVIA,01/05/2020,62,6,2,,
BOLIVIA,02/05/2020,241,11,25,,
BOLIVIA,03/05/2020,124,5,7,,
BOLIVIA,04/05/2020,87,6,8,,
BOLIVIA,05/05/2020,121,4,13,,
BOLIVIA,06/05/2020,84,5,11,,
BOLIVIA,07/05/2020,195,11,21,,
BOLIVIA,08/05/2020,185,4,8,,
BOLIVIA,09/05/2020,171,8,21,,
BOLIVIA,10/05/2020,119,3,15,,
BOLIVIA,11/05/2020,275,5,26,,
BOLIVIA,12/05/2020,133,6,14,,
BOLIVIA,13/05/2020,184,14,26,,
BOLIVIA,14/05/2020,224,10,17,,
BOLIVIA,15/05/2020,205,12,78,,
BOLIVIA,16/05/2020,249,1,39,,
BOLIVIA,17/05/2020,262,4,20,,
BOLIVIA,18/05/2020,175,5,10,,
BOLIVIA,19/05/2020,218,15,30,,
BOLIVIA,20/05/2020,438,10,20,,
BOLIVIA,21/05/2020,268,16,8,,
BOLIVIA,22/05/2020,392,15,14,,
BOLIVIA,23/05/2020,336,10,34,,
BOLIVIA,24/05/2020,348,10,20,,
BOLIVIA,25/05/2020,397,11,18,,
BOLIVIA,26/05/2020,476,2,30,,
BOLIVIA,27/05/2020,632,17,12,,
BOLIVIA,28/05/2020,619,13,49,,
BOLIVIA,29/05/2020,344,7,11,,
BOLIVIA,30/05/2020,861,10,140,,
BOLIVIA,31/05/2020,390,3,97,,
BOLIVIA,01/06/2020,549,30,146,,
BOLIVIA,02/06/2020,460,33,166,,
BOLIVIA,03/06/2020,647,24,209,,
BOLIVIA,04/06/2020,607,15,151,,
BOLIVIA,05/06/2020,483,12,76,,
BOLIVIA,06/06/2020,630,27,168,,
BOLIVIA,07/06/2020,285,10,184,,
BOLIVIA,08/06/2020,306,10,73,,
BOLIVIA,09/06/2020,695,12,31,,
BOLIVIA,10/06/2020,637,25,71,,
BOLIVIA,11/06/2020,884,21,111,,
BOLIVIA,12/06/2020,764,26,59,,
